"SA2_MAIN","SA2_NAME","totPop","engOnly","notStated","foreign","forPC","bucket"
125041489,"North Parramatta",20272,8508,1804,9960,0.539311241065627,5
115021297,"Dural - Kenthurst - Wisemans Ferry",20241,16557,554,3130,0.158988164778788,2
123021444,"Rosemeadow - Glen Alpine",20160,14742,1195,4223,0.222673345636699,3
119031368,"Hurstville",20150,4729,713,14708,0.75670113700674,6
119011354,"Bass Hill - Georges Hall",20071,9000,907,10164,0.530369442705072,5
117011322,"Mascot - Eastlakes",19866,8178,1230,10458,0.56117192530586,5
124051470,"St Clair",19838,15067,581,4190,0.217583216492704,3
116031319,"Rooty Hill - Minchinbury",19626,10501,845,8280,0.440871093126032,5
116031315,"Hassall Grove - Plumpton",19593,10002,817,8774,0.467298679164891,5
127021513,"Canley Vale - Canley Heights",19591,3596,905,15090,0.807556459381355,6
120011383,"Concord - Mortlake - Cabarita",19580,11654,882,7044,0.376724783399294,4
127031524,"Holsworthy - Wattle Grove",19549,13562,595,5392,0.284478210404136,4
116011306,"Doonside - Woodcroft",19504,9662,799,9043,0.483453622026196,5
126011496,"Pennant Hills - Cheltenham",19419,14451,355,4613,0.241974402014268,3
128021538,"Sutherland - Kirrawee",19370,15861,952,2557,0.138831577804322,2
118011340,"Bondi Beach - North Bondi",19328,13867,2256,3205,0.187734301780694,3
122031429,"Freshwater - Brookvale",19235,15695,894,2646,0.144266942914781,2
125021477,"Ermington - Rydalmere",19217,10834,935,7448,0.407395252160595,5
119021366,"Punchbowl",19199,3977,1400,13822,0.776560480925895,6
122011418,"Balgowlah - Clontarf - Seaforth",19181,16231,691,2259,0.12217414818821,2
123021436,"Bradbury - Wedderburn",19151,15266,900,2985,0.163552682044819,2
120011386,"Five Dock - Abbotsford",19101,12195,830,6076,0.332548847901045,4
125031484,"Guildford West - Merrylands West",19019,8186,1228,9605,0.539879714462369,5
119011361,"Yagoona - Birrong",18951,5883,1137,11931,0.669754125968339,6
117021327,"Petersham - Stanmore",18807,13367,1335,4105,0.234947344322344,3
121031407,"Gordon - Killara",18754,12344,584,5826,0.32063841496973,4
117031334,"Pyrmont - Ultimo",18731,8250,2708,7773,0.485115146976222,5
121031410,"St Ives",18644,14579,557,3508,0.19395145684746,3
127011508,"Hoxton Park - Horningsea Park",18640,8550,669,9421,0.52423348728507,5
119021362,"Belmore - Belfield",18618,5712,1131,11775,0.673357351175159,6
115011291,"Baulkham Hills (West) - Bella Vista",18615,12210,352,6053,0.331435142090566,4
116031313,"Bidwill - Hebersham - Emerton",18599,12595,1045,4959,0.282499715164635,4
124011450,"Blaxland - Warrimoo - Lapstone",18500,17330,400,770,0.0425414364640884,1
126021500,"Macquarie Park - Marsfield",18492,8029,1084,9379,0.538775275735294,5
125031483,"Guildford - South Granville",18331,4989,1373,11969,0.705802571057908,6
119041381,"Rockdale - Banksia",18324,5325,1549,11450,0.682563338301043,6
125031481,"Granville - Clyde",18246,5014,1471,11761,0.701102831594635,6
127021510,"Bossley Park - Abbotsbury",18225,7156,480,10589,0.596731473654551,6
115041302,"Rouse Hill - Beaumont Hills",18167,13354,657,4156,0.237350085665334,3
121011399,"Chatswood (West) - Lane Cove North",18119,11121,729,6269,0.360494537090282,4
102011032,"Gosford - Springfield",18070,15069,1327,1674,0.0999820820641462,2
121041413,"Cremorne - Cammeray",18057,13886,1381,2790,0.167306308467258,3
117031333,"Potts Point - Woolloomooloo",18039,12151,2785,3103,0.203422053231939,3
121031411,"Turramurra",18028,14495,655,2878,0.165659356472688,2
121021406,"Normanhurst - Thornleigh - Westleigh",18027,13911,452,3664,0.208477951635846,3
120011384,"Concord West - North Strathfield",18016,7752,1520,8744,0.530067895247333,5
118011339,"Bondi - Tamarama - Bronte",17889,12565,2217,3107,0.198251659009699,3
121021403,"Asquith - Mount Colah",17736,14709,334,2693,0.154752327318699,2
128011530,"Miranda - Yowie Bay",17602,13846,800,2956,0.175931436733722,3
123021443,"Minto - St Andrews",17580,10781,780,6019,0.35827380952381,4
120011385,"Drummoyne - Rodd Point",17459,12388,1020,4051,0.246426181641219,3
119031372,"Peakhurst - Lugarno",17417,12111,513,4793,0.283542356838618,4
127021516,"Fairfield - West",17408,4542,716,12150,0.727893601725377,6
124031458,"Castlereagh - Cranebrook",17371,15122,675,1574,0.0942740776233828,2
125041491,"Northmead",17288,8265,918,8105,0.495113011606597,5
121031412,"Wahroonga - Warrawee",17247,13729,674,2844,0.171604416822543,3
124031462,"Kingswood - Werrington",17114,12867,848,3399,0.208963482109923,3
127021519,"Smithfield - Wetherill Park",17012,6628,803,9581,0.591091368992535,6
126021503,"West Ryde - Meadowbank",16999,7945,778,8276,0.510202823500401,5
124031461,"Jamisontown - South Penrith",16887,14746,733,1408,0.0871610746564318,2
116011304,"Blacktown (North) - Marayong",16874,10194,753,5927,0.36765709323243,4
127021515,"Fairfield",16850,3063,651,13136,0.810914253966294,6
128011529,"Gymea - Grays Point",16845,15072,388,1385,0.0841587166555265,2
121041416,"Neutral Bay - Kirribilli",16710,12186,1469,3055,0.200446164949806,3
127011504,"Ashcroft - Busby - Miller",16646,7505,1434,7707,0.506639495135419,5
125031479,"Chester Hill - Sefton",16644,5982,960,9702,0.618592195868401,6
121041414,"Crows Nest - Waverton",16621,11778,1211,3632,0.235691109669046,3
123021440,"Ingleburn - Denham Court",16587,10808,636,5143,0.322424926336907,4
117031331,"Glebe - Forest Lodge",16576,11584,1520,3472,0.230605738575983,3
117031335,"Redfern - Chippendale",16561,9767,2100,4694,0.324597192448655,4
120031393,"Croydon Park - Enfield",16385,7897,733,7755,0.495463838487094,5
123011434,"Elderslie - Harrington Park",16074,14269,398,1407,0.0897550395509058,2
116031316,"Lethbridge Park - Tregear",16045,11826,1159,3060,0.205562273276904,3
123021441,"Leumeah - Minto Heights",15984,12684,626,2674,0.174111212397448,3
120031394,"Dulwich Hill - Lewisham",15906,9560,1199,5147,0.349969402325423,4
122031430,"Manly Vale - Allambie Heights",15901,13107,478,2316,0.15016533748298,2
118011341,"Bondi Junction - Waverly",15845,10683,1772,3390,0.240886804519292,3
127021512,"Cabramatta West - Mount Pritchard",15813,4862,860,10091,0.674847856617401,6
125021478,"Oatlands - Dundas Valley",15763,8485,766,6512,0.434220177368807,5
123021437,"Campbelltown - Woodbine",15755,11184,747,3824,0.254797441364606,3
121031409,"Pymble",15736,11975,418,3343,0.218239979109544,3
127031523,"Chipping Norton - Moorebank",15650,9200,652,5798,0.386584877983731,4
119011358,"Padstow",15630,9412,658,5560,0.37135987176062,4
116011303,"Blacktown (East) - Kings Park",15544,7411,829,7304,0.496364254162419,5
124041467,"Windsor - Bligh Park",15461,14167,568,726,0.0487477338346874,1
123031447,"Picton - Tahmoor - Buxton",15369,13943,666,760,0.0516901312657281,1
117031336,"Surry Hills",15342,9384,2058,3900,0.293586269196025,4
116021309,"Glenwood",15325,8382,337,6606,0.440752602081665,5
127021509,"Bonnyrigg Heights - Bonnyrigg",15188,3607,589,10992,0.752928282759093,6
124031457,"Cambridge Park",15137,13524,477,1136,0.0774897680763984,2
128011531,"Sylvania - Taren Point",15112,10630,608,3874,0.267098731384446,4
119011360,"Revesby",14872,8426,725,5721,0.404396691878137,4
119041379,"Kogarah Bay - Carlton - Allawah",14838,5878,656,8304,0.58553095473135,6
119041382,"Sans Souci - Ramsgate",14804,8784,699,5321,0.377242112725984,4
120021387,"Balmain",14752,12324,890,1538,0.110950800750252,2
127031522,"Casula",14696,6402,996,7298,0.532700729927007,5
119041375,"Arncliffe - Bardwell Valley",14673,5450,899,8324,0.604326992885146,6
125031480,"Fairfield - East",14403,3649,661,10093,0.734463687963906,6
118011345,"Paddington - Moore Park",14239,10927,1615,1697,0.134426489226869,2
117031330,"Erskineville - Alexandria",13897,10677,707,2513,0.190523123578469,3
124031459,"Emu Plains - Leonay",13880,12524,549,807,0.0605355937289026,1
102011031,"Erina - Green Point",13593,12321,467,805,0.0613286606734725,1
124041466,"Richmond - Clarendon",13440,11954,574,912,0.0708845017876574,2
126021498,"Gladesville - Huntleys Point",13424,9760,407,3257,0.25021126219559,3
102011042,"Woy Woy - Blackwall",13252,11874,681,697,0.0554450719910906,1
120031395,"Haberfield - Summer Hill",13232,8490,705,4037,0.322263909954498,4
119041380,"Monterey - Brighton-le-Sands - Kyeemagh",13125,5766,883,6476,0.528998529652018,5
119021367,"Roselands",13062,4863,839,7360,0.602143499959094,6
122031424,"Beacon Hill - Narraweena",13043,10071,395,2577,0.203747628083491,3
