colName,Language,Gender,Component
SOL_Spanish_M,Spanish,Male,Yes
SOL_Spanish_F,Spanish,Female,Yes
SOL_Spanish_P,Spanish,All,Yes
SOL_Tamil_M,Tamil,Male,Yes
SOL_Tamil_F,Tamil,Female,Yes
SOL_Tamil_P,Tamil,All,Yes
SOL_Thai_M,Thai,Male,Yes
SOL_Thai_F,Thai,Female,Yes
SOL_Thai_P,Thai,All,Yes
SOL_Turkish_M,Turkish,Male,Yes
SOL_Turkish_F,Turkish,Female,Yes
SOL_Turkish_P,Turkish,All,Yes
SOL_Vietnamese_M,Vietnamese,Male,Yes
SOL_Vietnamese_F,Vietnamese,Female,Yes
SOL_Vietnamese_P,Vietnamese,All,Yes
SOL_Other_M,Unclassified,Male,Yes
SOL_Other_F,Unclassified,Female,Yes
SOL_Other_P,Unclassified,All,Yes
SOL_Tot_M,SubTotal,Male,No
SOL_Tot_F,SubTotal,Female,No
SOL_Tot_P,SubTotal,All,No
Language_spoken_home_ns_M,Not Stated,Male,Yes
Language_spoken_home_ns_F,Not Stated,Female,Yes
Language_spoken_home_ns_P,Not Stated,All,Yes
Total_M,AllTotal,Male,No
Total_F,AllTotal,Female,No
Total_P,AllTotal,All,No
