id,total.01,foreign.01,english.01,other01,,total.06,foreign.06,english.06,other06,,total.11,foreign.11,english.11,other.11,,,,,,,,,,,,,
127021520,10659,7736,2458,465,,10232,7569,2220,443,,10641,8152,2215,274,,,,,,,,,,,,,
127021521,0,0,0,0,,0,0,0,0,,31,23,5,3,,,,,,,,,,,,,
127031522,11254,4713,5965,576,,13398,6168,6426,804,,14805,7295,6426,1084,,,,,,,,,,,,,
127031523,15017,4463,9828,726,,14342,4643,8883,816,,15559,5757,9124,678,,,,,,,,,,,,,
127031524,17477,3830,12802,845,,17897,4281,13194,422,,19699,5401,13629,669,,,,,,,,,,,,,
127031525,25211,15199,8025,1987,,25814,15434,7303,3077,,28924,18438,7107,3379,,,,,,,,,,,,,
127031526,19317,8163,9946,1208,,22699,10347,10237,2115,,25828,13496,11120,1212,,,,,,,,,,,,,
128011527,23938,1930,20989,1019,,24623,2129,21223,1271,,25555,2415,22164,976,,,,,,,,,,,,,
128011528,28299,2038,24616,1645,,28045,1838,23781,2426,,28980,2396,25256,1328,,,,,,,,,,,,,
128011529,16208,1047,14578,583,,16386,1190,14725,471,,16586,1394,14819,373,,,,,,,,,,,,,
128011530,16139,2276,13163,700,,16622,2442,13280,900,,17466,2940,13710,816,,,,,,,,,,,,,
128011531,14021,3186,10272,563,,14313,3354,10244,715,,15026,3857,10545,624,,,,,,,,,,,,,
128021532,27243,1091,25435,717,,26950,1221,25169,560,,27379,1267,25588,524,,,,,,,,,,,,,
128021533,6355,181,6046,128,,6175,186,5906,83,,6410,249,6042,119,,,,,,,,,,,,,
128021534,11508,2514,8606,388,,10779,2438,8110,231,,10484,2445,7813,226,,,,,,,,,,,,,
128021535,20938,2632,17524,782,,21046,2613,17802,631,,20828,2685,17687,456,,,,,,,,,,,,,
128021536,19953,1645,17719,589,,19385,1647,17344,394,,20350,2020,17719,611,,,,,,,,,,,,,
128021537,84,12,72,0,,11,0,6,5,,153,40,113,0,,,,,,,,,,,,,
128021538,17876,2043,15139,694,,18254,2054,15365,835,,19223,2534,15693,996,,,,,,,,,,,,,
