ColumName,Source,TimePeriod,Gender,Language,Include
SOL_German_C11_P,10A,2011,all,German,YES
SOL_Gre_C01_M,10A,2001,male,Greek,YES
SOL_Gre_C01_F,10A,2001,female,Greek,YES
SOL_Gre_C01_P,10A,2001,all,Greek,YES
SOL_Gre_C06_M,10A,2006,male,Greek,YES
SOL_Gre_C06_F,10A,2006,female,Greek,YES
SOL_Gre_C06_P,10A,2006,all,Greek,YES
SOL_Gre_C11_M,10A,2011,male,Greek,YES
SOL_Gre_C11_F,10A,2011,female,Greek,YES
SOL_Gre_C11_P,10A,2011,all,Greek,YES
SOL_Hindi_C01_M,10A,2001,male,Hindi,YES
SOL_Hindi_C01_F,10A,2001,female,Hindi,YES
SOL_Hindi_C01_P,10A,2001,all,Hindi,YES
SOL_Hindi_C06_M,10A,2006,male,Hindi,YES
SOL_Hindi_C06_F,10A,2006,female,Hindi,YES
SOL_Hindi_C06_P,10A,2006,all,Hindi,YES
SOL_Hindi_C11_M,10A,2011,male,Hindi,YES
SOL_Hindi_C11_F,10A,2011,female,Hindi,YES
SOL_Hindi_C11_P,10A,2011,all,Hindi,YES
SOL_Indon_C01_M,10A,2001,male,Indonesian,YES
SOL_Indon_C01_F,10A,2001,female,Indonesian,YES
SOL_Indon_C01_P,10A,2001,all,Indonesian,YES
SOL_Indon_C06_M,10A,2006,male,Indonesian,YES
SOL_Indon_C06_F,10A,2006,female,Indonesian,YES
SOL_Indon_C06_P,10A,2006,all,Indonesian,YES
SOL_Indon_C11_M,10A,2011,male,Indonesian,YES
SOL_Indon_C11_F,10A,2011,female,Indonesian,YES
SOL_Indon_C11_P,10A,2011,all,Indonesian,YES
SOL_Italian_C01_M,10A,2001,male,Italian,YES
SOL_Italian_C01_F,10A,2001,female,Italian,YES
SOL_Italian_C01_P,10A,2001,all,Italian,YES
SOL_Italian_C06_M,10A,2006,male,Italian,YES
SOL_Italian_C06_F,10A,2006,female,Italian,YES
SOL_Italian_C06_P,10A,2006,all,Italian,YES
SOL_Italian_C11_M,10A,2011,male,Italian,YES
SOL_Italian_C11_F,10A,2011,female,Italian,YES
SOL_Italian_C11_P,10A,2011,all,Italian,YES
SOL_Japanes_C01_M,10A,2001,male,Japanese,YES
SOL_Japanes_C01_F,10A,2001,female,Japanese,YES
SOL_Japanes_C01_P,10A,2001,all,Japanese,YES
SOL_Japanes_C06_M,10A,2006,male,Japanese,YES
SOL_Japanes_C06_F,10A,2006,female,Japanese,YES
SOL_Japanes_C06_P,10A,2006,all,Japanese,YES
SOL_Japanes_C11_M,10A,2011,male,Japanese,YES
SOL_Japanes_C11_F,10A,2011,female,Japanese,YES
SOL_Japanes_C11_P,10A,2011,all,Japanese,YES
SOL_Khmer_C01_M,10A,2001,male,Khmer,YES
